County_Name,FIPS,Incidence,Mortality,Population_2010,UIC_2013,Description,State,Counts_Incidence,Counts_Mortality,state_c,RUCC_2013,descriptionRUCC
Putnam County,29171,425.90000000000000,211.40000000000000,4979,10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",MO,33,17,0,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Ralls County,29173,482.60000000000000,210.80000000000000,10167,8,Micropolitan not adjacent to a metro area,MO,67,30,0,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Randolph County,29175,436.60000000000000,189.10000000000000,25414,5,Micropolitan adjacent to a small metro area,MO,129,57,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Ray County,29177,490.90000000000000,206.50000000000000,23494,1,Large-in a metro area with at least 1 million residents or more,MO,141,59,0,1,Metro - Counties in metro areas of 1 million population or more
Reynolds County,29179,420.00000000000000,182.00000000000000,6696,12,"Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",MO,44,18,0,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Ripley County,29181,467.30000000000000,225.90000000000000,14100,10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",MO,90,44,0,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
St. Charles County,29183,459.80000000000000,162.00000000000000,360485,1,Large-in a metro area with at least 1 million residents or more,MO,1791,604,0,1,Metro - Counties in metro areas of 1 million population or more
St. Clair County,29185,354.30000000000000,168.90000000000000,9805,4,Noncore adjacent to a large metro area,MO,57,30,0,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
Ste. Genevieve County,29186,419.10000000000000,186.50000000000000,18145,4,Noncore adjacent to a large metro area,MO,100,45,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
St. Francois County,29187,520.50000000000000,222.40000000000000,65359,3,Micropolitan adjacent to a large metro area,MO,400,172,0,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
St. Louis County,29189,469.70000000000000,164.50000000000000,998954,1,Large-in a metro area with at least 1 million residents or more,MO,5810,2104,0,1,Metro - Counties in metro areas of 1 million population or more
Saline County,29195,442.60000000000000,198.80000000000000,23370,3,Micropolitan adjacent to a large metro area,MO,127,60,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Schuyler County,29197,365.70000000000000,205.90000000000000,4431,8,Micropolitan not adjacent to a metro area,MO,22,13,0,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Scotland County,29199,355.70000000000000,182.00000000000000,4843,10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",MO,23,13,0,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Scott County,29201,482.10000000000000,217.20000000000000,39191,5,Micropolitan adjacent to a small metro area,MO,229,106,0,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
Shannon County,29203,380.50000000000000,197.30000000000000,8441,10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",MO,44,23,0,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Shelby County,29205,468.30000000000000,152.90000000000000,6373,10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",MO,41,15,0,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Stoddard County,29207,476.80000000000000,204.60000000000000,29968,6,"Noncore adjacent to a small metro with town of at least 2,500 residents",MO,193,85,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Stone County,29209,411.80000000000000,171.30000000000000,32202,5,Micropolitan adjacent to a small metro area,MO,231,96,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
